method,setting,model,k,n,invalid_rate,p_macro,r_macro,f1_macro,p_bug,r_bug,f1_bug,support_bug,share_bug,p_feature,r_feature,f1_feature,support_feature,share_feature,p_question,r_question,f1_question,support_question,share_question,conf_bug_to_bug,conf_bug_to_feature,conf_bug_to_question,conf_bug_to_invalid,conf_feature_to_bug,conf_feature_to_feature,conf_feature_to_question,conf_feature_to_invalid,conf_question_to_bug,conf_question_to_feature,conf_question_to_question,conf_question_to_invalid
votag,PA,-,16,3300,0.00000,0.61541,0.60606,0.60391,0.55640,0.73091,0.63183,1100,0.43788,0.68939,0.57909,0.62945,1100,0.28000,0.60043,0.50818,0.55047,1100,0.28212,0.73091,0.08818,0.18091,0.00000,0.26364,0.57909,0.15727,0.00000,0.31909,0.17273,0.50818,0.00000
votag,PS,-,17,3300,0.00000,0.59949,0.58909,0.58623,0.53846,0.72545,0.61813,1100,0.44909,0.67067,0.55909,0.60982,1100,0.27788,0.58935,0.48273,0.53073,1100,0.27303,0.72545,0.09091,0.18364,0.00000,0.28818,0.55909,0.15273,0.00000,0.33364,0.18364,0.48273,0.00000
votag,PA,-,17,3300,0.00000,0.60613,0.59697,0.59435,0.54870,0.72727,0.62549,1100,0.44182,0.67780,0.57182,0.62032,1100,0.28121,0.59190,0.49182,0.53724,1100,0.27697,0.72727,0.09091,0.18182,0.00000,0.27091,0.57182,0.15727,0.00000,0.32727,0.18091,0.49182,0.00000
votag,PS,-,18,3300,0.00000,0.59960,0.58909,0.58641,0.53753,0.72273,0.61652,1100,0.44818,0.67830,0.56545,0.61676,1100,0.27788,0.58296,0.47909,0.52595,1100,0.27394,0.72273,0.08545,0.19182,0.00000,0.28364,0.56545,0.15091,0.00000,0.33818,0.18273,0.47909,0.00000
votag,PA,-,18,3300,0.00000,0.61251,0.60364,0.60114,0.55418,0.73000,0.63005,1100,0.43909,0.68225,0.58364,0.62910,1100,0.28515,0.60110,0.49727,0.54428,1100,0.27576,0.73000,0.09000,0.18000,0.00000,0.26636,0.58364,0.15000,0.00000,0.32091,0.18182,0.49727,0.00000
votag,PS,-,19,3300,0.00000,0.59680,0.58667,0.58395,0.53591,0.71909,0.61413,1100,0.44727,0.67245,0.56364,0.61325,1100,0.27939,0.58204,0.47727,0.52448,1100,0.27333,0.71909,0.08909,0.19182,0.00000,0.28545,0.56364,0.15091,0.00000,0.33727,0.18545,0.47727,0.00000
votag,PA,-,19,3300,0.00000,0.60823,0.59848,0.59591,0.54645,0.72727,0.62402,1100,0.44364,0.68269,0.58091,0.62770,1100,0.28364,0.59556,0.48727,0.53600,1100,0.27273,0.72727,0.09273,0.18000,0.00000,0.26818,0.58091,0.15091,0.00000,0.33545,0.17727,0.48727,0.00000
votag,PS,-,20,3300,0.00000,0.60383,0.59242,0.58975,0.53965,0.73000,0.62056,1100,0.45091,0.68549,0.56273,0.61807,1100,0.27364,0.58636,0.48455,0.53061,1100,0.27545,0.73000,0.07909,0.19091,0.00000,0.28636,0.56273,0.15091,0.00000,0.33636,0.17909,0.48455,0.00000
votag,PA,-,20,3300,0.00000,0.61228,0.60242,0.59969,0.55109,0.73545,0.63006,1100,0.44485,0.68421,0.57909,0.62728,1100,0.28212,0.60155,0.49273,0.54173,1100,0.27303,0.73545,0.08455,0.18000,0.00000,0.27455,0.57909,0.14636,0.00000,0.32455,0.18273,0.49273,0.00000
votag,PS,-,25,3300,0.00000,0.59310,0.58242,0.57894,0.53129,0.72545,0.61337,1100,0.45515,0.66631,0.55909,0.60801,1100,0.27970,0.58171,0.46273,0.51544,1100,0.26515,0.72545,0.09545,0.17909,0.00000,0.28727,0.55909,0.15364,0.00000,0.35273,0.18455,0.46273,0.00000
votag,PA,-,25,3300,0.00000,0.60670,0.59576,0.59241,0.54078,0.73545,0.62327,1100,0.45333,0.67979,0.58091,0.62647,1100,0.28485,0.59954,0.47091,0.52749,1100,0.26182,0.73545,0.09182,0.17273,0.00000,0.27727,0.58091,0.14182,0.00000,0.34727,0.18182,0.47091,0.00000
votag,PS,-,30,3300,0.00000,0.59500,0.58333,0.57988,0.52747,0.72455,0.61049,1100,0.45788,0.66738,0.56727,0.61327,1100,0.28333,0.59016,0.45818,0.51586,1100,0.25879,0.72455,0.10000,0.17545,0.00000,0.29000,0.56727,0.14273,0.00000,0.35909,0.18273,0.45818,0.00000
votag,PA,-,30,3300,0.00000,0.60782,0.59667,0.59328,0.53810,0.73182,0.62018,1100,0.45333,0.68372,0.59545,0.63654,1100,0.29030,0.60165,0.46273,0.52312,1100,0.25636,0.73182,0.09455,0.17364,0.00000,0.27182,0.59545,0.13273,0.00000,0.35636,0.18091,0.46273,0.00000
zero_shot,PA,Qwen-3B,0,3300,0.00242,0.66589,0.62576,0.61315,0.54320,0.91455,0.68157,1100,0.56121,0.88639,0.61000,0.72267,1100,0.22939,0.56808,0.35273,0.43522,1100,0.20697,0.91455,0.02545,0.05909,0.00091,0.18091,0.61000,0.20909,0.00000,0.58818,0.05273,0.35273,0.00636
ragtag,PS,Qwen-3B,1,3300,0.00212,0.70115,0.69515,0.68801,0.63242,0.79455,0.70427,1100,0.41879,0.77116,0.81182,0.79097,1100,0.35091,0.69987,0.47909,0.56881,1100,0.22818,0.79455,0.09273,0.11182,0.00091,0.09364,0.81182,0.09364,0.00091,0.36818,0.14818,0.47909,0.00455
ragtag,PA,Qwen-3B,1,3300,0.00273,0.69852,0.69212,0.68510,0.62925,0.79000,0.70052,1100,0.41848,0.76897,0.81091,0.78938,1100,0.35152,0.69733,0.47545,0.56541,1100,0.22727,0.79000,0.09273,0.11636,0.00091,0.09818,0.81091,0.09000,0.00091,0.36727,0.15091,0.47545,0.00636
bragtag,PS,Qwen-3B,1,3300,0.00212,0.68926,0.68152,0.67822,0.62219,0.80545,0.70206,1100,0.43152,0.80976,0.73909,0.77281,1100,0.30424,0.63584,0.50000,0.55980,1100,0.26212,0.80545,0.05273,0.14091,0.00091,0.11455,0.73909,0.14545,0.00091,0.37455,0.12091,0.50000,0.00455
ragtag,PS,Qwen-3B,3,3300,0.00212,0.70863,0.70303,0.69698,0.63755,0.80273,0.71066,1100,0.41970,0.79396,0.81273,0.80323,1100,0.34121,0.69437,0.49364,0.57705,1100,0.23697,0.80273,0.07091,0.12545,0.00091,0.09455,0.81273,0.09182,0.00091,0.36182,0.14000,0.49364,0.00455
ragtag,PA,Qwen-3B,3,3300,0.00242,0.70697,0.70061,0.69440,0.63376,0.80545,0.70937,1100,0.42364,0.79464,0.80909,0.80180,1100,0.33939,0.69251,0.48727,0.57204,1100,0.23455,0.80545,0.06818,0.12545,0.00091,0.09909,0.80909,0.09091,0.00091,0.36636,0.14091,0.48727,0.00545
bragtag,PS,Qwen-3B,3,3300,0.00242,0.69756,0.69636,0.69688,0.67791,0.69455,0.68612,1100,0.34152,0.79398,0.79182,0.79290,1100,0.33242,0.62079,0.60273,0.61162,1100,0.32364,0.69455,0.06636,0.23818,0.00091,0.07818,0.79182,0.13000,0.00000,0.25182,0.13909,0.60273,0.00636
ragtag,PS,Qwen-3B,6,3300,0.03636,0.71175,0.67818,0.68117,0.62022,0.78091,0.69135,1100,0.41970,0.80179,0.81273,0.80722,1100,0.33788,0.71324,0.44091,0.54494,1100,0.20606,0.78091,0.06182,0.10000,0.05727,0.10182,0.81273,0.07727,0.00818,0.37636,0.13909,0.44091,0.04364
ragtag,PA,Qwen-3B,6,3300,0.03636,0.70890,0.67636,0.67943,0.62211,0.78273,0.69324,1100,0.41939,0.79964,0.80545,0.80254,1100,0.33576,0.70494,0.44091,0.54251,1100,0.20848,0.78273,0.06000,0.09909,0.05818,0.10182,0.80545,0.08545,0.00727,0.37364,0.14182,0.44091,0.04364
bragtag,PS,Qwen-3B,6,3300,0.01788,0.72034,0.70788,0.71366,0.72305,0.66455,0.69256,1100,0.30636,0.79396,0.81273,0.80323,1100,0.34121,0.64402,0.64636,0.64519,1100,0.33455,0.66455,0.07182,0.23364,0.03000,0.06091,0.81273,0.12364,0.00273,0.19364,0.13909,0.64636,0.02091
ragtag,PS,Qwen-3B,9,3300,0.04424,0.70971,0.67121,0.67597,0.62326,0.77455,0.69072,1100,0.41424,0.79093,0.80818,0.79946,1100,0.34061,0.71493,0.43091,0.53772,1100,0.20091,0.77455,0.06818,0.08818,0.06909,0.09182,0.80818,0.08364,0.01636,0.37636,0.14545,0.43091,0.04727
ragtag,PA,Qwen-3B,9,3300,0.04364,0.70311,0.66606,0.67011,0.62016,0.77182,0.68773,1100,0.41485,0.78419,0.80273,0.79335,1100,0.34121,0.70499,0.42364,0.52924,1100,0.20030,0.77182,0.06909,0.09182,0.06727,0.09545,0.80273,0.08545,0.01636,0.37727,0.15182,0.42364,0.04727
bragtag,PS,Qwen-3B,9,3300,0.03182,0.72037,0.69879,0.70877,0.72442,0.65000,0.68519,1100,0.29909,0.78440,0.81364,0.79875,1100,0.34576,0.65230,0.63273,0.64236,1100,0.32333,0.65000,0.08364,0.21636,0.05000,0.05727,0.81364,0.12091,0.00818,0.19000,0.14000,0.63273,0.03727
ragtag,PS,Qwen-3B,12,3300,0.04636,0.71376,0.67152,0.67588,0.61795,0.77636,0.68815,1100,0.41879,0.79735,0.81909,0.80807,1100,0.34242,0.72598,0.41909,0.53141,1100,0.19242,0.77636,0.06545,0.08818,0.07000,0.09727,0.81909,0.07000,0.01364,0.38273,0.14273,0.41909,0.05545
ragtag,PA,Qwen-3B,12,3300,0.04545,0.71606,0.67485,0.67929,0.62119,0.77818,0.69088,1100,0.41758,0.80071,0.82182,0.81113,1100,0.34212,0.72628,0.42455,0.53586,1100,0.19485,0.77818,0.06364,0.08909,0.06909,0.09273,0.82182,0.07091,0.01455,0.38182,0.14091,0.42455,0.05273
bragtag,PS,Qwen-3B,12,3300,0.03939,0.72011,0.69424,0.70644,0.71047,0.65364,0.68087,1100,0.30667,0.79295,0.81818,0.80537,1100,0.34394,0.65689,0.61091,0.63307,1100,0.31000,0.65364,0.07364,0.21273,0.06000,0.06364,0.81818,0.10636,0.01182,0.20273,0.14000,0.61091,0.04636
ragtag,PS,Qwen-3B,15,3300,0.05424,0.70659,0.66091,0.66730,0.61385,0.75727,0.67806,1100,0.41121,0.79207,0.81727,0.80447,1100,0.34394,0.71383,0.40818,0.51938,1100,0.19061,0.75727,0.06545,0.09273,0.08455,0.09545,0.81727,0.07091,0.01636,0.38091,0.14909,0.40818,0.06182
ragtag,PA,Qwen-3B,15,3300,0.05455,0.70652,0.65879,0.66397,0.60769,0.76182,0.67608,1100,0.41788,0.79332,0.82000,0.80644,1100,0.34455,0.71854,0.39455,0.50939,1100,0.18303,0.76182,0.06455,0.08909,0.08455,0.09909,0.82000,0.06545,0.01545,0.39273,0.14909,0.39455,0.06364
bragtag,PS,Qwen-3B,15,3300,0.04788,0.71841,0.68727,0.70166,0.70109,0.64182,0.67015,1100,0.30515,0.78746,0.82182,0.80427,1100,0.34788,0.66667,0.59818,0.63057,1100,0.29909,0.64182,0.08091,0.20182,0.07545,0.06636,0.82182,0.09727,0.01455,0.20727,0.14091,0.59818,0.05364
finetune,PS,Qwen-3B,-,3300,0.01091,0.72312,0.68727,0.67575,0.60646,0.87000,0.71471,1100,0.47818,0.77011,0.79182,0.78082,1100,0.34273,0.79279,0.40000,0.53172,1100,0.16818,0.87000,0.09455,0.03000,0.00545,0.11818,0.79182,0.07455,0.01545,0.44636,0.14182,0.40000,0.01182
finetune,PA,Qwen-3B,-,3300,0.00758,0.73131,0.71152,0.70843,0.63703,0.87273,0.73648,1100,0.45667,0.83266,0.75091,0.78967,1100,0.30061,0.72423,0.51091,0.59915,1100,0.23515,0.87273,0.02727,0.09000,0.01000,0.14182,0.75091,0.10455,0.00273,0.35545,0.12364,0.51091,0.01000
zero_shot,PA,Qwen-7B,0,3300,0.00091,0.71666,0.67909,0.66213,0.57507,0.88091,0.69587,1100,0.51061,0.79197,0.78909,0.79053,1100,0.33212,0.78295,0.36727,0.50000,1100,0.15636,0.88091,0.09364,0.02545,0.00000,0.13455,0.78909,0.07636,0.00000,0.51636,0.11364,0.36727,0.00273
ragtag,PS,Qwen-7B,1,3300,0.00091,0.73443,0.69667,0.68103,0.59827,0.88273,0.71318,1100,0.49182,0.77768,0.81091,0.79395,1100,0.34758,0.82732,0.39636,0.53596,1100,0.15970,0.88273,0.08818,0.02818,0.00091,0.13455,0.81091,0.05455,0.00000,0.45818,0.14364,0.39636,0.00182
ragtag,PA,Qwen-7B,1,3300,0.00091,0.73348,0.69606,0.68109,0.59777,0.87818,0.71134,1100,0.48970,0.77526,0.80909,0.79181,1100,0.34788,0.82739,0.40091,0.54011,1100,0.16152,0.87818,0.09182,0.02909,0.00091,0.13636,0.80909,0.05455,0.00000,0.45455,0.14273,0.40091,0.00182
bragtag,PS,Qwen-7B,1,3300,0.00061,0.72569,0.68788,0.67267,0.58881,0.88000,0.70554,1100,0.49818,0.77471,0.79091,0.78273,1100,0.34030,0.81356,0.39273,0.52974,1100,0.16091,0.88000,0.09182,0.02818,0.00000,0.14727,0.79091,0.06182,0.00000,0.46727,0.13818,0.39273,0.00182
ragtag,PS,Qwen-7B,3,3300,0.00091,0.75458,0.72485,0.71278,0.62920,0.88545,0.73565,1100,0.46909,0.79724,0.84000,0.81806,1100,0.35121,0.83729,0.44909,0.58462,1100,0.17879,0.88545,0.07636,0.03636,0.00182,0.10909,0.84000,0.05091,0.00000,0.41273,0.13727,0.44909,0.00091
ragtag,PA,Qwen-7B,3,3300,0.00091,0.75185,0.72303,0.71077,0.62977,0.88455,0.73573,1100,0.46818,0.79328,0.83727,0.81468,1100,0.35182,0.83249,0.44727,0.58190,1100,0.17909,0.88455,0.07636,0.03727,0.00182,0.11000,0.83727,0.05273,0.00000,0.41000,0.14182,0.44727,0.00091
bragtag,PS,Qwen-7B,3,3300,0.00061,0.75029,0.72212,0.71150,0.62810,0.87364,0.73080,1100,0.46364,0.78861,0.83091,0.80921,1100,0.35121,0.83415,0.46182,0.59450,1100,0.18455,0.87364,0.08636,0.03909,0.00091,0.11636,0.83091,0.05273,0.00000,0.40091,0.13636,0.46182,0.00091
ragtag,PS,Qwen-7B,6,3300,0.03455,0.76059,0.71515,0.71754,0.65747,0.82364,0.73123,1100,0.41758,0.78668,0.84818,0.81627,1100,0.35939,0.83762,0.47364,0.60511,1100,0.18848,0.82364,0.07909,0.03909,0.05818,0.09182,0.84818,0.05273,0.00727,0.33727,0.15091,0.47364,0.03818
ragtag,PA,Qwen-7B,6,3300,0.03485,0.75660,0.71030,0.71218,0.65693,0.81818,0.72874,1100,0.41515,0.77326,0.84636,0.80816,1100,0.36485,0.83961,0.46636,0.59965,1100,0.18515,0.81818,0.08727,0.03545,0.05909,0.09273,0.84636,0.05364,0.00727,0.33455,0.16091,0.46636,0.03818
bragtag,PS,Qwen-7B,6,3300,0.01606,0.76145,0.73424,0.73267,0.67175,0.84091,0.74687,1100,0.41727,0.78626,0.84273,0.81351,1100,0.35727,0.82634,0.51909,0.63763,1100,0.20939,0.84091,0.07545,0.05273,0.03091,0.09909,0.84273,0.05636,0.00182,0.31182,0.15364,0.51909,0.01545
ragtag,PS,Qwen-7B,9,3300,0.04273,0.75836,0.70545,0.71029,0.65339,0.80545,0.72150,1100,0.41091,0.77731,0.84727,0.81079,1100,0.36333,0.84437,0.46364,0.59859,1100,0.18303,0.80545,0.08636,0.03909,0.06909,0.09182,0.84727,0.04636,0.01455,0.33545,0.15636,0.46364,0.04455
ragtag,PA,Qwen-7B,9,3300,0.04212,0.75149,0.70030,0.70418,0.65156,0.79727,0.71709,1100,0.40788,0.76790,0.84818,0.80605,1100,0.36818,0.83500,0.45545,0.58941,1100,0.18182,0.79727,0.09000,0.04545,0.06727,0.09273,0.84818,0.04455,0.01455,0.33364,0.16636,0.45545,0.04455
bragtag,PS,Qwen-7B,9,3300,0.03061,0.75623,0.72455,0.72976,0.68900,0.78545,0.73407,1100,0.38000,0.77044,0.84818,0.80744,1100,0.36697,0.80926,0.54000,0.64776,1100,0.22242,0.78545,0.09455,0.07000,0.05000,0.08636,0.84818,0.05727,0.00818,0.26818,0.15818,0.54000,0.03364
ragtag,PS,Qwen-7B,12,3300,0.04455,0.75956,0.70152,0.70581,0.65405,0.80091,0.72007,1100,0.40818,0.76179,0.85182,0.80429,1100,0.37273,0.86285,0.45182,0.59308,1100,0.17455,0.80091,0.09909,0.03000,0.07000,0.09273,0.85182,0.04182,0.01364,0.33091,0.16727,0.45182,0.05000
ragtag,PA,Qwen-7B,12,3300,0.04394,0.74962,0.69212,0.69566,0.64334,0.78545,0.70733,1100,0.40697,0.75141,0.84909,0.79727,1100,0.37667,0.85413,0.44182,0.58238,1100,0.17242,0.78545,0.11091,0.03455,0.06909,0.09636,0.84909,0.04091,0.01364,0.33909,0.17000,0.44182,0.04909
bragtag,PS,Qwen-7B,12,3300,0.03818,0.76617,0.72879,0.73756,0.71273,0.77364,0.74194,1100,0.36182,0.76052,0.85455,0.80479,1100,0.37455,0.82527,0.55818,0.66594,1100,0.22545,0.77364,0.10455,0.06182,0.06000,0.07727,0.85455,0.05636,0.01182,0.23455,0.16455,0.55818,0.04273
