model,approach,setting,project,k_label,true_bug,pred_bug,overpred_bug,true_feature,pred_feature,overpred_feature,true_question,pred_question,overpred_question,n_invalid,predictions_path
Qwen-32B,ragtag,agnostic,_overall,zero_shot,1100,1549,1.4081818181818182,1100,1248,1.1345454545454545,1100,497,0.45181818181818184,6,results/issues11k/agnostic/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/preds_zero_shot.csv
Qwen-3B,ft,agnostic,_overall,finetune_fixed,1100,1819,1.6536363636363636,1100,872,0.7927272727272727,1100,591,0.5372727272727272,18,results/issues11k/agnostic/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/finetune_fixed/preds_finetune_fixed.csv
Qwen-3B,ragtag,agnostic,_overall,k1,1100,1381,1.2554545454545454,1100,1160,1.0545454545454545,1100,750,0.6818181818181818,9,results/issues11k/agnostic/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/preds_k1.csv
Qwen-3B,ragtag,agnostic,_overall,k3,1100,1398,1.270909090909091,1100,1120,1.018181818181818,1100,774,0.7036363636363636,8,results/issues11k/agnostic/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/preds_k3.csv
Qwen-3B,ragtag,agnostic,_overall,k6,1100,1384,1.2581818181818183,1100,1108,1.0072727272727273,1100,688,0.6254545454545455,120,results/issues11k/agnostic/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/preds_k6.csv
Qwen-3B,ragtag,agnostic,_overall,k9,1100,1369,1.2445454545454546,1100,1126,1.0236363636363637,1100,661,0.600909090909091,144,results/issues11k/agnostic/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/preds_k9.csv
Qwen-3B,ragtag,agnostic,_overall,zero_shot,1100,1852,1.6836363636363636,1100,757,0.6881818181818182,1100,683,0.6209090909090909,8,results/issues11k/agnostic/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/preds_zero_shot.csv
Qwen-7B,ft,agnostic,_overall,finetune_fixed,1100,1285,1.1681818181818182,1100,1042,0.9472727272727273,1100,969,0.8809090909090909,4,results/issues11k/agnostic/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/finetune_fixed/preds_finetune_fixed.csv
Qwen-7B,ragtag,agnostic,_overall,k1,1100,1616,1.469090909090909,1100,1148,1.0436363636363637,1100,533,0.48454545454545456,3,results/issues11k/agnostic/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/preds_k1.csv
Qwen-7B,ragtag,agnostic,_overall,k3,1100,1545,1.4045454545454545,1100,1161,1.0554545454545454,1100,591,0.5372727272727272,3,results/issues11k/agnostic/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/preds_k3.csv
Qwen-7B,ragtag,agnostic,_overall,k6,1100,1370,1.2454545454545454,1100,1204,1.0945454545454545,1100,611,0.5554545454545454,115,results/issues11k/agnostic/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/preds_k6.csv
Qwen-7B,ragtag,agnostic,_overall,k9,1100,1346,1.2236363636363636,1100,1215,1.1045454545454545,1100,600,0.5454545454545454,139,results/issues11k/agnostic/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/preds_k9.csv
Qwen-7B,ragtag,agnostic,_overall,zero_shot,1100,1685,1.5318181818181817,1100,1096,0.9963636363636363,1100,516,0.4690909090909091,3,results/issues11k/agnostic/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/preds_zero_shot.csv
,vtag,agnostic,_overall,k1,1100,1330,1.209090909090909,1100,954,0.8672727272727273,1100,1016,0.9236363636363636,0,results/issues11k/agnostic/vtag/predictions/preds_k1.csv
,vtag,agnostic,_overall,k10,1100,1437,1.3063636363636364,1100,932,0.8472727272727273,1100,931,0.8463636363636363,0,results/issues11k/agnostic/vtag/predictions/preds_k10.csv
,vtag,agnostic,_overall,k11,1100,1440,1.309090909090909,1100,924,0.84,1100,936,0.850909090909091,0,results/issues11k/agnostic/vtag/predictions/preds_k11.csv
,vtag,agnostic,_overall,k12,1100,1439,1.3081818181818181,1100,924,0.84,1100,937,0.8518181818181818,0,results/issues11k/agnostic/vtag/predictions/preds_k12.csv
,vtag,agnostic,_overall,k13,1100,1466,1.3327272727272728,1100,919,0.8354545454545454,1100,915,0.8318181818181818,0,results/issues11k/agnostic/vtag/predictions/preds_k13.csv
,vtag,agnostic,_overall,k14,1100,1459,1.3263636363636364,1100,918,0.8345454545454546,1100,923,0.8390909090909091,0,results/issues11k/agnostic/vtag/predictions/preds_k14.csv
,vtag,agnostic,_overall,k15,1100,1448,1.3163636363636364,1100,926,0.8418181818181818,1100,926,0.8418181818181818,0,results/issues11k/agnostic/vtag/predictions/preds_k15.csv
,vtag,agnostic,_overall,k16,1100,1445,1.3136363636363637,1100,924,0.84,1100,931,0.8463636363636363,0,results/issues11k/agnostic/vtag/predictions/preds_k16.csv
,vtag,agnostic,_overall,k17,1100,1458,1.3254545454545454,1100,928,0.8436363636363636,1100,914,0.8309090909090909,0,results/issues11k/agnostic/vtag/predictions/preds_k17.csv
,vtag,agnostic,_overall,k18,1100,1449,1.3172727272727274,1100,941,0.8554545454545455,1100,910,0.8272727272727273,0,results/issues11k/agnostic/vtag/predictions/preds_k18.csv
,vtag,agnostic,_overall,k19,1100,1464,1.3309090909090908,1100,936,0.850909090909091,1100,900,0.8181818181818182,0,results/issues11k/agnostic/vtag/predictions/preds_k19.csv
,vtag,agnostic,_overall,k2,1100,1330,1.209090909090909,1100,954,0.8672727272727273,1100,1016,0.9236363636363636,0,results/issues11k/agnostic/vtag/predictions/preds_k2.csv
,vtag,agnostic,_overall,k20,1100,1468,1.3345454545454545,1100,931,0.8463636363636363,1100,901,0.8190909090909091,0,results/issues11k/agnostic/vtag/predictions/preds_k20.csv
,vtag,agnostic,_overall,k25,1100,1496,1.36,1100,940,0.8545454545454545,1100,864,0.7854545454545454,0,results/issues11k/agnostic/vtag/predictions/preds_k25.csv
,vtag,agnostic,_overall,k3,1100,1370,1.2454545454545454,1100,946,0.86,1100,984,0.8945454545454545,0,results/issues11k/agnostic/vtag/predictions/preds_k3.csv
,vtag,agnostic,_overall,k30,1100,1496,1.36,1100,958,0.8709090909090909,1100,846,0.769090909090909,0,results/issues11k/agnostic/vtag/predictions/preds_k30.csv
,vtag,agnostic,_overall,k4,1100,1402,1.2745454545454546,1100,938,0.8527272727272728,1100,960,0.8727272727272727,0,results/issues11k/agnostic/vtag/predictions/preds_k4.csv
,vtag,agnostic,_overall,k5,1100,1389,1.2627272727272727,1100,949,0.8627272727272727,1100,962,0.8745454545454545,0,results/issues11k/agnostic/vtag/predictions/preds_k5.csv
,vtag,agnostic,_overall,k6,1100,1412,1.2836363636363637,1100,929,0.8445454545454546,1100,959,0.8718181818181818,0,results/issues11k/agnostic/vtag/predictions/preds_k6.csv
,vtag,agnostic,_overall,k7,1100,1413,1.2845454545454544,1100,933,0.8481818181818181,1100,954,0.8672727272727273,0,results/issues11k/agnostic/vtag/predictions/preds_k7.csv
,vtag,agnostic,_overall,k8,1100,1442,1.3109090909090908,1100,933,0.8481818181818181,1100,925,0.8409090909090909,0,results/issues11k/agnostic/vtag/predictions/preds_k8.csv
,vtag,agnostic,_overall,k9,1100,1430,1.3,1100,934,0.8490909090909091,1100,936,0.850909090909091,0,results/issues11k/agnostic/vtag/predictions/preds_k9.csv
,vtag_debias,agnostic,_overall,k1,1100,1330,1.209090909090909,1100,954,0.8672727272727273,1100,1016,0.9236363636363636,0,results/issues11k/agnostic/vtag_debias_m3/predictions/preds_k1.csv
,vtag_debias,agnostic,_overall,k3,1100,575,0.5227272727272727,1100,1304,1.1854545454545455,1100,1421,1.2918181818181818,0,results/issues11k/agnostic/vtag_debias_m3/predictions/preds_k3.csv
,vtag_debias,agnostic,_overall,k6,1100,691,0.6281818181818182,1100,1204,1.0945454545454545,1100,1405,1.2772727272727273,0,results/issues11k/agnostic/vtag_debias_m3/predictions/preds_k6.csv
,vtag_debias,agnostic,_overall,k9,1100,896,0.8145454545454546,1100,1060,0.9636363636363636,1100,1344,1.221818181818182,0,results/issues11k/agnostic/vtag_debias_m3/predictions/preds_k9.csv
Qwen-14B,ft,project_specific,ansible_ansible,finetune_fixed,100,103,1.03,100,107,1.07,100,90,0.9,0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/finetune_fixed/preds_finetune_fixed.csv
Qwen-14B,ragtag,project_specific,ansible_ansible,k1,100,124,1.24,100,157,1.57,100,16,0.16,3,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/preds_k1.csv
Qwen-14B,ragtag,project_specific,ansible_ansible,k3,100,137,1.37,100,140,1.4,100,20,0.2,3,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/preds_k3.csv
Qwen-14B,ragtag,project_specific,ansible_ansible,k6,100,132,1.32,100,139,1.39,100,22,0.22,7,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/preds_k6.csv
Qwen-14B,ragtag,project_specific,ansible_ansible,k9,100,135,1.35,100,133,1.33,100,25,0.25,7,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/preds_k9.csv
Qwen-14B,ragtag_debias,project_specific,ansible_ansible,k1,100,131,1.31,100,151,1.51,100,15,0.15,3,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/preds_k1.csv
Qwen-14B,ragtag_debias,project_specific,ansible_ansible,k3,100,127,1.27,100,148,1.48,100,22,0.22,3,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/preds_k3.csv
Qwen-14B,ragtag_debias,project_specific,ansible_ansible,k6,100,129,1.29,100,140,1.4,100,27,0.27,4,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/preds_k6.csv
Qwen-14B,ragtag_debias,project_specific,ansible_ansible,k9,100,130,1.3,100,136,1.36,100,27,0.27,7,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/preds_k9.csv
Qwen-32B,ft,project_specific,ansible_ansible,finetune_fixed,100,102,1.02,100,135,1.35,100,62,0.62,1,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/finetune_fixed/preds_finetune_fixed.csv
Qwen-32B,ragtag,project_specific,ansible_ansible,k1,100,119,1.19,100,156,1.56,100,22,0.22,3,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/preds_k1.csv
Qwen-32B,ragtag,project_specific,ansible_ansible,k3,100,131,1.31,100,137,1.37,100,26,0.26,6,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/preds_k3.csv
Qwen-32B,ragtag,project_specific,ansible_ansible,k6,100,127,1.27,100,131,1.31,100,32,0.32,10,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/preds_k6.csv
Qwen-32B,ragtag,project_specific,ansible_ansible,k9,100,127,1.27,100,126,1.26,100,35,0.35,12,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/preds_k9.csv
Qwen-32B,ragtag_debias,project_specific,ansible_ansible,k1,100,116,1.16,100,159,1.59,100,23,0.23,2,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/preds_k1.csv
Qwen-32B,ragtag_debias,project_specific,ansible_ansible,k3,100,118,1.18,100,153,1.53,100,23,0.23,6,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/preds_k3.csv
Qwen-32B,ragtag_debias,project_specific,ansible_ansible,k6,100,124,1.24,100,136,1.36,100,33,0.33,7,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/preds_k6.csv
Qwen-32B,ragtag_debias,project_specific,ansible_ansible,k9,100,122,1.22,100,130,1.3,100,39,0.39,9,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/preds_k9.csv
Qwen-32B,ragtag,project_specific,ansible_ansible,zero_shot,100,115,1.15,100,167,1.67,100,14,0.14,4,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/preds_zero_shot.csv
Qwen-3B,ft,project_specific,ansible_ansible,finetune_fixed,100,89,0.89,100,119,1.19,100,89,0.89,3,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/finetune_fixed/preds_finetune_fixed.csv
Qwen-3B,ragtag,project_specific,ansible_ansible,k1,100,124,1.24,100,139,1.39,100,32,0.32,5,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/preds_k1.csv
Qwen-3B,ragtag,project_specific,ansible_ansible,k3,100,129,1.29,100,133,1.33,100,32,0.32,6,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/preds_k3.csv
Qwen-3B,ragtag,project_specific,ansible_ansible,k6,100,128,1.28,100,135,1.35,100,27,0.27,10,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/preds_k6.csv
Qwen-3B,ragtag,project_specific,ansible_ansible,k9,100,136,1.36,100,131,1.31,100,23,0.23,10,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/preds_k9.csv
Qwen-3B,ragtag_debias,project_specific,ansible_ansible,k1,100,128,1.28,100,124,1.24,100,43,0.43,5,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/preds_k1.csv
Qwen-3B,ragtag_debias,project_specific,ansible_ansible,k3,100,121,1.21,100,130,1.3,100,42,0.42,7,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/preds_k3.csv
Qwen-3B,ragtag_debias,project_specific,ansible_ansible,k6,100,121,1.21,100,134,1.34,100,37,0.37,8,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/preds_k6.csv
Qwen-3B,ragtag_debias,project_specific,ansible_ansible,k9,100,122,1.22,100,129,1.29,100,43,0.43,6,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/preds_k9.csv
Qwen-7B,ft,project_specific,ansible_ansible,finetune_fixed,100,112,1.12,100,114,1.14,100,60,0.6,14,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/finetune_fixed/preds_finetune_fixed.csv
Qwen-7B,ragtag,project_specific,ansible_ansible,k1,100,121,1.21,100,144,1.44,100,33,0.33,2,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/preds_k1.csv
Qwen-7B,ragtag,project_specific,ansible_ansible,k3,100,122,1.22,100,144,1.44,100,34,0.34,0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/preds_k3.csv
Qwen-7B,ragtag,project_specific,ansible_ansible,k6,100,119,1.19,100,143,1.43,100,34,0.34,4,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/preds_k6.csv
Qwen-7B,ragtag,project_specific,ansible_ansible,k9,100,122,1.22,100,138,1.38,100,34,0.34,6,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/preds_k9.csv
Qwen-7B,ragtag_debias,project_specific,ansible_ansible,k1,100,117,1.17,100,152,1.52,100,29,0.29,2,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/preds_k1.csv
Qwen-7B,ragtag_debias,project_specific,ansible_ansible,k3,100,119,1.19,100,148,1.48,100,33,0.33,0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/preds_k3.csv
Qwen-7B,ragtag_debias,project_specific,ansible_ansible,k6,100,121,1.21,100,142,1.42,100,35,0.35,2,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/preds_k6.csv
Qwen-7B,ragtag_debias,project_specific,ansible_ansible,k9,100,121,1.21,100,138,1.38,100,39,0.39,2,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/preds_k9.csv
,vtag,project_specific,ansible_ansible,k1,100,131,1.31,100,118,1.18,100,51,0.51,0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/preds_k1.csv
,vtag,project_specific,ansible_ansible,k10,100,141,1.41,100,126,1.26,100,33,0.33,0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/preds_k10.csv
,vtag,project_specific,ansible_ansible,k11,100,140,1.4,100,126,1.26,100,34,0.34,0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/preds_k11.csv
,vtag,project_specific,ansible_ansible,k12,100,140,1.4,100,130,1.3,100,30,0.3,0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/preds_k12.csv
,vtag,project_specific,ansible_ansible,k13,100,143,1.43,100,129,1.29,100,28,0.28,0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/preds_k13.csv
,vtag,project_specific,ansible_ansible,k14,100,142,1.42,100,131,1.31,100,27,0.27,0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/preds_k14.csv
,vtag,project_specific,ansible_ansible,k15,100,137,1.37,100,133,1.33,100,30,0.3,0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/preds_k15.csv
,vtag,project_specific,ansible_ansible,k16,100,138,1.38,100,135,1.35,100,27,0.27,0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/preds_k16.csv
,vtag,project_specific,ansible_ansible,k17,100,139,1.39,100,135,1.35,100,26,0.26,0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/preds_k17.csv
,vtag,project_specific,ansible_ansible,k18,100,131,1.31,100,141,1.41,100,28,0.28,0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/preds_k18.csv
,vtag,project_specific,ansible_ansible,k19,100,134,1.34,100,141,1.41,100,25,0.25,0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/preds_k19.csv
,vtag,project_specific,ansible_ansible,k2,100,131,1.31,100,118,1.18,100,51,0.51,0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/preds_k2.csv
,vtag,project_specific,ansible_ansible,k20,100,135,1.35,100,136,1.36,100,29,0.29,0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/preds_k20.csv
,vtag,project_specific,ansible_ansible,k25,100,129,1.29,100,146,1.46,100,25,0.25,0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/preds_k25.csv
,vtag,project_specific,ansible_ansible,k3,100,135,1.35,100,113,1.13,100,52,0.52,0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/preds_k3.csv
,vtag,project_specific,ansible_ansible,k30,100,119,1.19,100,155,1.55,100,26,0.26,0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/preds_k30.csv
,vtag,project_specific,ansible_ansible,k4,100,139,1.39,100,121,1.21,100,40,0.4,0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/preds_k4.csv
,vtag,project_specific,ansible_ansible,k5,100,137,1.37,100,122,1.22,100,41,0.41,0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/preds_k5.csv
,vtag,project_specific,ansible_ansible,k6,100,134,1.34,100,127,1.27,100,39,0.39,0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/preds_k6.csv
,vtag,project_specific,ansible_ansible,k7,100,136,1.36,100,128,1.28,100,36,0.36,0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/preds_k7.csv
,vtag,project_specific,ansible_ansible,k8,100,140,1.4,100,124,1.24,100,36,0.36,0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/preds_k8.csv
,vtag,project_specific,ansible_ansible,k9,100,138,1.38,100,131,1.31,100,31,0.31,0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/preds_k9.csv
,vtag_debias,project_specific,ansible_ansible,k1,100,131,1.31,100,118,1.18,100,51,0.51,0,results/issues11k/project_specific/ansible_ansible/vtag_debias_m3/predictions/preds_k1.csv
,vtag_debias,project_specific,ansible_ansible,k3,100,52,0.52,100,163,1.63,100,85,0.85,0,results/issues11k/project_specific/ansible_ansible/vtag_debias_m3/predictions/preds_k3.csv
,vtag_debias,project_specific,ansible_ansible,k6,100,69,0.69,100,159,1.59,100,72,0.72,0,results/issues11k/project_specific/ansible_ansible/vtag_debias_m3/predictions/preds_k6.csv
,vtag_debias,project_specific,ansible_ansible,k9,100,92,0.92,100,149,1.49,100,59,0.59,0,results/issues11k/project_specific/ansible_ansible/vtag_debias_m3/predictions/preds_k9.csv
Qwen-14B,ft,project_specific,bitcoin_bitcoin,finetune_fixed,100,99,0.99,100,83,0.83,100,118,1.18,0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/finetune_fixed/preds_finetune_fixed.csv
Qwen-14B,ragtag,project_specific,bitcoin_bitcoin,k1,100,156,1.56,100,112,1.12,100,32,0.32,0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/preds_k1.csv
Qwen-14B,ragtag,project_specific,bitcoin_bitcoin,k3,100,148,1.48,100,114,1.14,100,38,0.38,0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/preds_k3.csv
Qwen-14B,ragtag,project_specific,bitcoin_bitcoin,k6,100,127,1.27,100,113,1.13,100,44,0.44,16,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/preds_k6.csv
Qwen-14B,ragtag,project_specific,bitcoin_bitcoin,k9,100,123,1.23,100,111,1.11,100,50,0.5,16,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/preds_k9.csv
Qwen-14B,ragtag_debias,project_specific,bitcoin_bitcoin,k1,100,158,1.58,100,107,1.07,100,35,0.35,0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/preds_k1.csv
Qwen-14B,ragtag_debias,project_specific,bitcoin_bitcoin,k3,100,148,1.48,100,113,1.13,100,39,0.39,0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/preds_k3.csv
Qwen-14B,ragtag_debias,project_specific,bitcoin_bitcoin,k6,100,126,1.26,100,113,1.13,100,55,0.55,6,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/preds_k6.csv
Qwen-14B,ragtag_debias,project_specific,bitcoin_bitcoin,k9,100,109,1.09,100,114,1.14,100,69,0.69,8,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/preds_k9.csv
Qwen-32B,ft,project_specific,bitcoin_bitcoin,finetune_fixed,100,96,0.96,100,113,1.13,100,91,0.91,0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/finetune_fixed/preds_finetune_fixed.csv
