model,approach,setting,k_label,compute_s,avg_prompt_tokens,total_issues,f1_macro
Qwen-32B,ragtag,project_specific,k9,13355.48,5349.872727272727,3300.0,0.7579272727272727
Qwen-32B,ragtag,project_specific,zero_shot,2904.5299999999997,731.2727272727271,3300.0,0.6800636363636364
Qwen-32B,ragtag_debias,project_specific,k1,3711.92,1125.2363636363636,3300.0,0.7113181818181817
Qwen-32B,ragtag_debias,project_specific,k3,5281.200000000001,1867.4363636363635,3300.0,0.7407545454545456
Qwen-32B,ragtag_debias,project_specific,k6,8862.53,3453.9636363636364,3300.0,0.7666818181818182
Qwen-32B,ragtag_debias,project_specific,k9,11424.39,4541.081818181819,3300.0,0.7745272727272727
Qwen-3B,ft,agnostic,finetune_fixed,675.96,594.7,3300.0,0.652
Qwen-3B,ft,project_specific,finetune_fixed,2832.61,594.7454545454547,3300.0,0.5754272727272727
Qwen-3B,ragtag,agnostic,k1,448.84,1478.5,3300.0,0.6851
Qwen-3B,ragtag,agnostic,k3,669.58,2806.0,3300.0,0.6944
Qwen-3B,ragtag,agnostic,k6,985.07,4323.1,3300.0,0.6794
Qwen-3B,ragtag,agnostic,k9,1198.87,5375.5,3300.0,0.6701
Qwen-3B,ragtag,project_specific,k1,452.65999999999997,1488.890909090909,3300.0,0.6841727272727273
Qwen-3B,ragtag,project_specific,k3,664.74,2807.0818181818177,3300.0,0.693890909090909
Qwen-3B,ragtag,project_specific,k6,976.27,4328.954545454545,3300.0,0.6780272727272728
Qwen-3B,ragtag,project_specific,k9,1182.43,5349.872727272727,3300.0,0.6726818181818183
Qwen-3B,ragtag_debias,project_specific,k1,397.87,1125.2363636363636,3300.0,0.6754181818181819
Qwen-3B,ragtag_debias,project_specific,k3,512.37,1867.4363636363635,3300.0,0.6930727272727272
Qwen-3B,ragtag_debias,project_specific,k6,802.5899999999999,3453.9636363636364,3300.0,0.7089181818181818
Qwen-3B,ragtag_debias,project_specific,k9,1021.06,4541.081818181819,3300.0,0.7041727272727273
Qwen-7B,ft,agnostic,finetune_fixed,938.96,594.7,3300.0,0.7411
Qwen-7B,ft,project_specific,finetune_fixed,1984.3400000000001,594.7454545454547,3300.0,0.5113454545454545
Qwen-7B,ragtag,agnostic,k1,709.57,1478.5,3300.0,0.6811
Qwen-7B,ragtag,agnostic,k3,1153.72,2806.0,3300.0,0.7108
Qwen-7B,ragtag,agnostic,k6,1757.54,4323.1,3300.0,0.7122
Qwen-7B,ragtag,agnostic,k9,2171.01,5375.5,3300.0,0.7042
Qwen-7B,ragtag,project_specific,k1,714.7299999999999,1488.890909090909,3300.0,0.6755181818181818
Qwen-7B,ragtag,project_specific,k3,1149.46,2807.0818181818177,3300.0,0.7089363636363637
Qwen-7B,ragtag,project_specific,k6,1801.0600000000002,4328.954545454545,3300.0,0.7142272727272727
Qwen-7B,ragtag,project_specific,k9,2154.63,5349.872727272727,3300.0,0.7078
Qwen-7B,ragtag_debias,project_specific,k1,597.2099999999999,1125.2363636363636,3300.0,0.6658454545454546
Qwen-7B,ragtag_debias,project_specific,k3,869.6799999999998,1867.4363636363635,3300.0,0.7071000000000001
Qwen-7B,ragtag_debias,project_specific,k6,1438.73,3453.9636363636364,3300.0,0.7299272727272726
Qwen-7B,ragtag_debias,project_specific,k9,1829.45,4541.081818181819,3300.0,0.7279727272727272
(no LLM),vtag,agnostic,k1,0.0038,0.0,3300.0,
(no LLM),vtag,agnostic,k10,0.0061,0.0,3300.0,
(no LLM),vtag,agnostic,k11,0.0063,0.0,3300.0,
(no LLM),vtag,agnostic,k12,0.0065,0.0,3300.0,
(no LLM),vtag,agnostic,k13,0.0065,0.0,3300.0,
(no LLM),vtag,agnostic,k14,0.0067,0.0,3300.0,
(no LLM),vtag,agnostic,k15,0.0069,0.0,3300.0,
(no LLM),vtag,agnostic,k16,0.0072,0.0,3300.0,
(no LLM),vtag,agnostic,k17,0.0073,0.0,3300.0,
(no LLM),vtag,agnostic,k18,0.0072,0.0,3300.0,
(no LLM),vtag,agnostic,k19,0.0073,0.0,3300.0,
(no LLM),vtag,agnostic,k2,0.0046,0.0,3300.0,
(no LLM),vtag,agnostic,k20,0.0076,0.0,3300.0,
(no LLM),vtag,agnostic,k25,0.0084,0.0,3300.0,
(no LLM),vtag,agnostic,k3,0.0048,0.0,3300.0,
(no LLM),vtag,agnostic,k30,0.0091,0.0,3300.0,
(no LLM),vtag,agnostic,k4,0.0051,0.0,3300.0,
(no LLM),vtag,agnostic,k5,0.0054,0.0,3300.0,
(no LLM),vtag,agnostic,k6,0.0055,0.0,3300.0,
(no LLM),vtag,agnostic,k7,0.0055,0.0,3300.0,
(no LLM),vtag,agnostic,k8,0.0058,0.0,3300.0,
(no LLM),vtag,agnostic,k9,0.0061,0.0,3300.0,
(no LLM),vtag,project_specific,k1,0.0028,0.0,3300.0,
(no LLM),vtag,project_specific,k10,0.006699999999999999,0.0,3300.0,
(no LLM),vtag,project_specific,k11,0.006999999999999999,0.0,3300.0,
(no LLM),vtag,project_specific,k12,0.0072,0.0,3300.0,
(no LLM),vtag,project_specific,k13,0.0073,0.0,3300.0,
(no LLM),vtag,project_specific,k14,0.0076,0.0,3300.0,
(no LLM),vtag,project_specific,k15,0.008,0.0,3300.0,
(no LLM),vtag,project_specific,k16,0.0078000000000000005,0.0,3300.0,
(no LLM),vtag,project_specific,k17,0.008,0.0,3300.0,
(no LLM),vtag,project_specific,k18,0.0083,0.0,3300.0,
(no LLM),vtag,project_specific,k19,0.0082,0.0,3300.0,
(no LLM),vtag,project_specific,k2,0.005300000000000001,0.0,3300.0,
(no LLM),vtag,project_specific,k20,0.008700000000000001,0.0,3300.0,
(no LLM),vtag,project_specific,k25,0.0098,0.0,3300.0,
(no LLM),vtag,project_specific,k3,0.005500000000000001,0.0,3300.0,
(no LLM),vtag,project_specific,k30,0.011300000000000001,0.0,3300.0,
(no LLM),vtag,project_specific,k4,0.0060999999999999995,0.0,3300.0,
(no LLM),vtag,project_specific,k5,0.0063999999999999994,0.0,3300.0,
(no LLM),vtag,project_specific,k6,0.0063999999999999994,0.0,3300.0,
(no LLM),vtag,project_specific,k7,0.006599999999999999,0.0,3300.0,
(no LLM),vtag,project_specific,k8,0.006599999999999999,0.0,3300.0,
(no LLM),vtag,project_specific,k9,0.006499999999999999,0.0,3300.0,
(no LLM),vtag_debias,agnostic,k1,0.0038,0.0,3300.0,
(no LLM),vtag_debias,agnostic,k3,0.005,0.0,3300.0,
(no LLM),vtag_debias,agnostic,k6,0.0057,0.0,3300.0,
(no LLM),vtag_debias,agnostic,k9,0.0068,0.0,3300.0,
(no LLM),vtag_debias,project_specific,k1,0.0032999999999999995,0.0,3300.0,
(no LLM),vtag_debias,project_specific,k3,0.005500000000000001,0.0,3300.0,
(no LLM),vtag_debias,project_specific,k6,0.006599999999999999,0.0,3300.0,
(no LLM),vtag_debias,project_specific,k9,0.0076,0.0,3300.0,
